time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-03-22T09:27:40.470Z,-58.0885,-25.6566,70.72,4.7,mb,,82,7.144,0.47,us,us6000h6lj,2022-03-22T10:13:52.040Z,"South Sandwich Islands region",earthquake,5.5,7,0.087,40,reviewed,us,us
2022-03-22T09:27:38.780Z,19.2078342437744,-155.419830322266,32.8800010681152,1.73000002,md,39,150,,0.129999995,hv,hv72958877,2022-03-22T09:30:46.860Z,"6 km E of Pāhala, Hawaii",earthquake,0.58,0.819999993,1.07000005,8,automatic,hv,hv
2022-03-22T09:26:43.550Z,17.951,-66.9403333333333,8.69,2.05,md,5,214,,0.07,pr,pr71341278,2022-03-22T10:13:58.830Z,"4 km WSW of Guánica, Puerto Rico",earthquake,0.77,0.6,0.179956564300365,5,reviewed,pr,pr
2022-03-22T09:19:48.960Z,34.0898333,-118.2725,6.8,1.14,ml,17,201,0.03644,0.2,ci,ci39974095,2022-03-22T10:04:10.842Z,"1km WSW of Silver Lake, CA",earthquake,0.58,0.69,0.21,26,automatic,ci,ci
2022-03-22T09:15:10.020Z,33.3258333,-116.3858333,8.95,0.99,ml,30,72,0.06318,0.18,ci,ci39974087,2022-03-22T14:29:23.780Z,"8km N of Borrego Springs, CA",earthquake,0.28,0.66,0.177,26,reviewed,ci,ci
2022-03-22T09:13:20.720Z,33.3253333,-116.3743333,8.37,0.73,ml,16,158,0.06558,0.12,ci,ci39974079,2022-03-22T14:28:49.708Z,"8km N of Borrego Springs, CA",earthquake,0.25,0.56,0.157,13,reviewed,ci,ci
2022-03-22T09:07:52.750Z,38.8383331,-122.7993317,1.56,0.64,md,7,102,0.00702,0.04,nc,nc73708701,2022-03-22T09:26:13.224Z,"7km WNW of Cobb, CA",earthquake,0.48,1.37,,1,automatic,nc,nc
2022-03-22T08:58:28.660Z,37.391,-118.7048333,0.46,1.16,md,14,160,0.1189,0.14,nc,nc73708696,2022-03-22T15:37:18.451Z,"10km WSW of Round Valley, CA",earthquake,0.6,31.61,0.076,14,reviewed,nc,nc
2022-03-22T08:54:04.580Z,35.6215,-117.3651667,7.49,1.02,ml,11,210,0.08644,0.16,ci,ci39974071,2022-03-22T08:57:39.505Z,"16km S of Trona, CA",earthquake,1.1,1.96,0.108,9,automatic,ci,ci
2022-03-22T08:50:38.143Z,64.6427,-149.1833,12.7,1.3,ml,,,,0.89,ak,ak0223q3ldku,2022-03-22T09:02:01.041Z,"5 km NW of Four Mile Road, Alaska",earthquake,,0.2,,,automatic,ak,ak
2022-03-22T08:50:03.911Z,64.7969,-148.9056,33.3,0.9,ml,,,,1.11,ak,ak0223q3layl,2022-03-22T09:01:49.070Z,"23 km NNE of Four Mile Road, Alaska",earthquake,,0.3,,,automatic,ak,ak
2022-03-22T08:46:08.190Z,37.386,-118.7131667,0.51,1.18,md,16,164,0.1238,0.07,nc,nc73708691,2022-03-22T15:26:15.395Z,"11km WSW of Round Valley, CA",earthquake,0.43,31.61,0.178,17,reviewed,nc,nc
2022-03-22T08:27:16.930Z,38.8221664,-122.803833,3.18,0.84,md,12,89,0.005027,0.01,nc,nc73708681,2022-03-22T08:53:15.027Z,"6km NW of The Geysers, CA",earthquake,0.36,1.15,,1,automatic,nc,nc
2022-03-22T08:20:39.660Z,38.7919998,-122.7344971,2.12,1.19,md,9,162,0.008922,0.01,nc,nc73708676,2022-03-22T09:49:12.373Z,"2km NE of The Geysers, CA",earthquake,0.51,0.87,,1,automatic,nc,nc
2022-03-22T08:07:16.900Z,19.1396675109863,-155.452163696289,29.1499996185303,2.04,ml,48,168,,0.140000001,hv,hv72958827,2022-03-22T08:12:49.060Z,"7 km SSE of Pāhala, Hawaii",earthquake,0.5,0.769999981,4.24,6,automatic,hv,hv
2022-03-22T08:06:55.240Z,46.9066667,-112.6596667,11.74,1.64,ml,23,73,0.005,0.26,mb,mb80541174,2022-03-22T14:10:45.340Z,"5 km SSE of Lincoln, Montana",earthquake,0.4,0.6,0.339,6,reviewed,mb,mb
2022-03-22T07:50:11.580Z,17.9778333333333,-66.9731666666667,9.13,2.06,md,3,172,,0.04,pr,pr71341273,2022-03-22T08:26:42.520Z,"6 km W of Fuig, Puerto Rico",earthquake,2.32,1.19,0.123718373491792,2,reviewed,pr,pr
2022-03-22T07:41:53.040Z,19.1786670684814,-155.468338012695,35.7599983215332,2.05999994,md,41,99,,0.119999997,hv,hv72958812,2022-03-22T07:45:15.190Z,"2 km SSE of Pāhala, Hawaii",earthquake,0.67,0.790000021,1.64999998,18,automatic,hv,hv
2022-03-22T07:25:50.530Z,38.7953339,-122.8188324,5.56,0.85,md,10,141,0.01281,0.08,nc,nc73708671,2022-03-22T08:24:13.850Z,"6km WNW of The Geysers, CA",earthquake,0.74,2.34,,1,automatic,nc,nc
